pid,arrival,cpu_burst,io_burst,priority,completion,turnaround,waiting,response,missed_deadline
1,20,1,38,3,61,41,2,2,True
2,47,56,0,2,105,58,2,2,False
3,64,1,39,9,108,44,4,4,True
7,120,5,0,10,129,9,4,4,False
8,126,2,0,2,133,7,5,5,True
5,94,29,10,3,146,52,13,13,False
4,83,41,0,9,179,96,55,55,True
9,198,23,0,10,226,28,5,5,False
6,118,20,53,2,254,136,63,63,True
10,241,22,18,1,283,42,2,2,False
14,326,9,0,3,339,13,4,4,False
12,303,23,0,6,345,42,19,4,False
13,307,21,0,2,368,61,40,40,True
17,348,1,0,5,371,23,22,22,True
15,338,15,0,9,388,50,35,35,True
20,358,7,0,9,397,39,32,32,True
16,343,19,0,1,418,75,56,56,True
11,263,74,0,4,458,195,121,4,True
19,354,34,0,8,494,140,106,106,True
21,364,43,0,7,539,175,132,132,True
24,419,24,0,8,565,146,122,122,True
26,457,6,0,5,573,116,110,110,True
27,486,20,30,8,625,139,89,89,True
18,350,122,0,6,719,369,247,247,True
28,486,64,0,9,785,299,235,235,True
33,591,13,0,2,800,209,196,196,True
23,401,98,30,7,930,529,401,401,True
35,595,32,0,5,934,339,307,307,True
36,610,46,0,9,1056,446,400,400,True
29,515,35,90,5,1061,546,421,421,True
30,552,35,57,3,1065,513,421,421,True
32,585,33,56,5,1147,562,473,473,True
31,567,75,0,1,1168,601,526,526,True
37,639,58,0,7,1263,624,566,566,True
34,593,33,78,3,1281,688,577,577,True
25,434,177,0,1,1442,1008,831,831,True
39,757,14,12,10,1470,713,687,687,True
42,793,16,0,9,1476,683,667,667,True
46,843,2,0,2,1480,637,635,635,True
38,745,52,0,9,1534,789,737,737,True
45,803,28,0,8,1564,761,733,733,True
44,801,32,0,2,1598,797,765,765,True
48,850,10,0,7,1610,760,750,750,True
49,854,31,0,2,1643,789,758,758,True
47,845,65,0,2,1756,911,846,846,True
40,773,44,100,1,1789,1016,872,872,True
41,779,117,0,2,1875,1096,979,979,True
22,373,296,73,2,2246,1873,1504,1504,True
50,866,98,0,1,2273,1407,1309,1309,True
43,796,137,0,8,2412,1616,1479,1479,True
