pid,arrival,cpu_burst,io_burst,priority,completion,turnaround,waiting,response,missed_deadline
1,20,1,38,3,61,41,2,2,True
2,47,56,0,2,105,58,2,2,False
5,94,29,10,3,146,52,13,13,False
8,126,2,0,2,162,36,34,34,True
3,64,1,39,9,204,140,100,100,True
4,83,41,0,9,208,125,84,84,True
6,118,20,53,2,211,93,20,20,False
7,120,5,0,10,215,95,90,90,True
9,198,23,0,10,240,42,19,19,False
10,241,22,18,1,283,42,2,2,False
13,307,21,0,2,332,25,4,4,False
16,343,19,0,1,366,23,4,4,False
14,326,9,0,3,368,42,33,8,True
25,434,177,0,1,615,181,4,4,False
11,263,74,0,4,648,385,311,4,True
22,373,296,73,2,746,373,4,4,False
31,567,75,0,1,750,183,108,108,True
17,348,1,0,5,753,405,404,404,True
33,591,13,0,2,805,214,201,201,True
12,303,23,0,6,830,527,504,504,True
30,552,35,57,3,847,295,203,203,True
18,350,122,0,6,954,604,482,482,True
21,364,43,0,7,999,635,592,592,True
26,457,6,0,5,1007,550,544,544,True
19,354,34,0,8,1043,689,655,655,True
15,338,15,0,9,1160,822,807,807,True
20,358,7,0,9,1169,811,804,804,True
23,401,98,30,7,1173,772,644,644,True
24,419,24,0,8,1195,776,752,752,True
27,486,20,30,8,1247,761,711,711,True
28,486,64,0,9,1283,797,733,733,True
29,515,35,90,5,1410,895,770,770,True
32,585,33,56,5,1411,826,737,737,True
35,595,32,0,5,1424,829,797,797,True
34,593,33,78,3,1468,875,764,764,True
36,610,46,0,9,1472,862,816,816,True
37,639,58,0,7,1532,893,835,835,True
38,745,52,0,9,1586,841,789,789,True
39,757,14,12,10,1660,903,877,877,True
40,773,44,100,1,1732,959,815,815,True
41,779,117,0,2,1767,988,871,871,True
42,793,16,0,9,1785,992,976,976,True
43,796,137,0,8,1924,1128,991,991,True
44,801,32,0,2,1958,1157,1125,1125,True
45,803,28,0,8,1988,1185,1157,1157,True
46,843,2,0,2,1992,1149,1147,1147,True
47,845,65,0,2,2059,1214,1149,1149,True
48,850,10,0,7,2071,1221,1211,1211,True
49,854,31,0,2,2104,1250,1219,1219,True
50,866,98,0,1,2204,1338,1240,1240,True
