pid,arrival,cpu_burst,io_burst,priority,completion,turnaround,waiting,response,missed_deadline
1,20,1,38,3,61,41,2,2,True
2,47,56,0,2,105,58,2,2,False
5,94,29,10,3,146,52,13,13,False
8,126,2,0,2,162,36,34,34,True
3,64,1,39,9,204,140,100,100,True
4,83,41,0,9,208,125,84,84,True
6,118,20,53,2,211,93,20,20,False
7,120,5,0,10,215,95,90,90,True
9,198,23,0,10,240,42,19,19,False
10,241,22,18,1,283,42,2,2,False
11,263,74,0,4,341,78,4,4,False
13,307,21,0,2,364,57,36,36,True
16,343,19,0,1,385,42,23,23,True
14,326,9,0,3,694,368,359,359,True
22,373,296,73,2,756,383,14,14,False
25,434,177,0,1,873,439,262,262,True
12,303,23,0,6,898,595,572,572,True
17,348,1,0,5,901,553,552,552,True
18,350,122,0,6,1025,675,553,553,True
19,354,34,0,8,1061,707,673,673,True
21,364,43,0,7,1106,742,699,699,True
15,338,15,0,9,1123,785,770,770,True
20,358,7,0,9,1132,774,767,767,True
24,419,24,0,8,1258,839,815,815,True
23,401,98,30,7,1262,861,733,733,True
26,457,6,0,5,1266,809,803,803,True
27,486,20,30,8,1318,832,782,782,True
28,486,64,0,9,1354,868,804,804,True
29,515,35,90,5,1481,966,841,841,True
30,552,35,57,3,1485,933,841,841,True
31,567,75,0,1,1505,938,863,863,True
33,591,13,0,2,1555,964,951,951,True
32,585,33,56,5,1596,1011,922,922,True
35,595,32,0,5,1624,1029,997,997,True
34,593,33,78,3,1668,1075,964,964,True
36,610,46,0,9,1672,1062,1016,1016,True
37,639,58,0,7,1732,1093,1035,1035,True
38,745,52,0,9,1786,1041,989,989,True
39,757,14,12,10,1814,1057,1031,1031,True
40,773,44,100,1,1948,1175,1031,1031,True
41,779,117,0,2,1967,1188,1071,1071,True
42,793,16,0,9,1985,1192,1176,1176,True
43,796,137,0,8,2124,1328,1191,1191,True
44,801,32,0,2,2158,1357,1325,1325,True
45,803,28,0,8,2188,1385,1357,1357,True
46,843,2,0,2,2192,1349,1347,1347,True
47,845,65,0,2,2259,1414,1349,1349,True
48,850,10,0,7,2271,1421,1411,1411,True
49,854,31,0,2,2304,1450,1419,1419,True
50,866,98,0,1,2404,1538,1440,1440,True
