pid,arrival,cpu_burst,io_burst,priority,completion,turnaround,waiting,response,missed_deadline
1,20,1,38,3,61,41,2,2,True
2,47,56,0,2,105,58,2,2,False
3,64,1,39,9,125,61,21,21,True
7,120,5,0,10,270,150,145,145,True
8,126,2,0,2,274,148,146,146,True
6,118,20,53,2,316,198,125,125,True
5,94,29,10,3,347,253,214,106,True
4,83,41,0,9,404,321,280,24,True
9,198,23,0,10,462,264,241,107,True
14,326,9,0,3,473,147,138,138,True
15,338,15,0,9,490,152,137,137,True
16,343,19,0,1,511,168,149,149,True
17,348,1,0,5,514,166,165,165,True
20,358,7,0,9,594,236,229,229,True
10,241,22,18,1,616,375,335,98,True
12,303,23,0,6,848,545,522,103,True
