pid,arrival,cpu_burst,io_burst,priority,completion,turnaround,waiting,response,missed_deadline
1,20,1,38,3,61,41,2,2,True
2,47,56,0,2,105,58,2,2,False
8,126,2,0,2,143,17,15,15,True
3,64,1,39,9,147,83,43,43,True
5,94,29,10,3,149,55,16,16,False
7,120,5,0,10,150,30,25,25,True
4,83,41,0,9,215,132,91,91,True
6,118,20,53,2,225,107,34,34,True
9,198,23,0,10,240,42,19,19,False
10,241,22,18,1,283,42,2,2,False
11,263,74,0,4,341,78,4,4,False
14,326,9,0,3,352,26,17,17,True
17,348,1,0,5,355,7,6,6,True
15,338,15,0,9,372,34,19,19,True
20,358,7,0,9,381,23,16,16,True
16,343,19,0,1,402,59,40,40,True
13,307,21,0,2,425,118,97,97,True
12,303,23,0,6,450,147,124,124,True
24,419,24,0,8,476,57,33,33,True
26,457,6,0,5,484,27,21,21,True
19,354,34,0,8,520,166,132,132,True
27,486,20,30,8,572,86,36,36,True
33,591,13,0,2,631,40,27,27,True
35,595,32,0,5,665,70,38,38,True
29,515,35,90,5,669,154,29,29,False
30,552,35,57,3,673,121,29,29,False
32,585,33,56,5,756,171,82,82,True
21,364,43,0,7,780,416,373,373,True
39,757,14,12,10,808,51,25,25,True
34,593,33,78,3,813,220,109,109,True
42,793,16,0,9,814,21,5,5,False
45,803,28,0,8,844,41,13,13,False
46,843,2,0,2,848,5,3,3,True
44,801,32,0,2,882,81,49,49,True
48,850,10,0,7,894,44,34,34,True
49,854,31,0,2,927,73,42,42,True
36,610,46,0,9,1021,411,365,365,True
40,773,44,100,1,1073,300,156,156,True
38,745,52,0,9,1075,330,278,278,True
37,639,58,0,7,1135,496,438,438,True
28,486,64,0,9,1201,715,651,651,True
47,845,65,0,2,1268,423,358,358,True
31,567,75,0,1,1345,778,703,703,True
23,401,98,30,7,1475,1074,946,946,True
50,866,98,0,1,1545,679,581,581,True
41,779,117,0,2,1664,885,768,768,True
18,350,122,0,6,1788,1438,1316,1316,True
43,796,137,0,8,1927,1131,994,994,True
25,434,177,0,1,2106,1672,1495,1495,True
22,373,296,73,2,2477,2104,1735,1735,True
