pid,arrival,cpu_burst,io_burst,priority,completion,turnaround,waiting,response,missed_deadline
1,20,1,38,3,61,41,2,2,True
2,47,56,0,2,105,58,2,2,False
3,64,1,39,9,108,44,4,4,True
8,126,2,0,2,132,6,4,4,True
7,120,5,0,10,137,17,12,4,True
5,94,29,10,3,165,71,32,13,True
4,83,41,0,9,220,137,96,96,True
6,118,20,53,2,230,112,39,39,True
9,198,23,0,10,245,47,24,24,True
10,241,22,18,1,287,46,6,6,False
13,307,21,0,2,332,25,4,4,False
14,326,9,0,3,343,17,8,8,False
17,348,1,0,5,353,5,4,4,True
20,358,7,0,9,369,11,4,4,False
15,338,15,0,9,380,42,27,7,True
16,343,19,0,1,401,58,39,39,True
12,303,23,0,6,426,123,100,4,True
24,419,24,0,8,452,33,9,9,False
26,457,6,0,5,467,10,4,4,False
19,354,34,0,8,488,134,100,100,True
27,486,20,30,8,540,54,4,4,False
33,591,13,0,2,606,15,2,2,False
35,595,32,0,5,640,45,13,13,False
29,515,35,90,5,644,129,4,4,False
30,552,35,57,3,648,96,4,4,False
32,585,33,56,5,731,146,57,57,True
11,263,74,0,4,751,488,414,8,True
39,757,14,12,10,787,30,4,4,False
34,593,33,78,3,788,195,84,84,True
42,793,16,0,9,813,20,4,4,False
21,364,43,0,7,816,452,409,389,True
46,843,2,0,2,849,6,4,4,True
45,803,28,0,8,854,51,23,15,False
48,850,10,0,7,866,16,6,6,False
49,854,31,0,2,899,45,14,14,False
44,801,32,0,2,933,132,100,100,True
36,610,46,0,9,1027,417,371,371,True
40,773,44,100,1,1079,306,162,162,True
38,745,52,0,9,1081,336,284,284,True
37,639,58,0,7,1141,502,444,444,True
28,486,64,0,9,1207,721,657,657,True
47,845,65,0,2,1274,429,364,364,True
31,567,75,0,1,1351,784,709,709,True
23,401,98,30,7,1481,1080,952,952,True
50,866,98,0,1,1551,685,587,587,True
41,779,117,0,2,1670,891,774,774,True
18,350,122,0,6,1794,1444,1322,1322,True
43,796,137,0,8,1933,1137,1000,1000,True
25,434,177,0,1,2112,1678,1501,1501,True
22,373,296,73,2,2483,2110,1741,1741,True
